set	jd_tt	x_km	y_km	z_km
fit	643557.5000	-378175.482	143910.236	-8434.673
fit	659591.2000	-129129.576	382962.684	35545.231
fit	675624.9000	210897.215	336753.723	26164.673
fit	691658.6000	383405.412	33154.175	-19554.790
fit	707692.3000	235230.024	-286337.605	-34723.191
fit	723726.0000	-118806.463	-346322.020	-3575.917
fit	739759.7000	-360280.268	-80068.734	31964.097
fit	755793.4000	-275499.213	265053.679	22605.420
fit	771827.1000	52201.325	392312.417	-20956.713
fit	787860.8000	344151.786	211140.107	-28815.114
fit	803894.5000	382891.353	-129739.178	11933.988
fit	819928.2000	139566.923	-369039.738	30264.993
fit	835961.9000	-201722.637	-323464.838	-1562.235
fit	851995.6000	-365611.757	-13455.104	-29937.235
fit	868029.3000	-201460.888	298478.441	-16991.531
fit	884063.0000	154324.081	330548.075	20283.916
fit	900096.7000	373292.578	56224.781	33820.411
fit	916130.4000	278846.253	-277932.076	-4546.233
fit	932164.1000	-40410.081	-399126.240	-40532.345
fit	948197.8000	-332217.458	-228531.797	-12966.467
fit	964231.5000	-378465.124	107771.929	32878.261
fit	980265.2000	-141442.931	351649.240	25429.262
fit	996298.9000	202973.175	302996.214	-14921.773
fit	1012332.6000	355430.633	-11912.538	-30609.581
fit	1028366.3000	175056.771	-315823.628	-6879.713
fit	1044400.0000	-175255.642	-330046.197	27758.866
fit	1060433.7000	-385917.583	-57802.728	21686.444
fit	1076467.4000	-294918.919	271914.779	-21818.309
fit	1092501.1000	15830.507	402586.541	-28141.916
fit	1108534.8000	314601.135	240972.694	15579.362
fit	1124568.5000	368839.861	-96602.379	33498.342
fit	1140602.2000	127502.255	-345138.397	-106.249
fit	1156635.9000	-220156.869	-282133.618	-31254.785
fit	1172669.6000	-358860.111	41603.105	-21408.359
fit	1188703.3000	-163811.224	336121.688	17929.216
fit	1204737.0000	181633.365	343385.003	36414.330
fit	1220770.7000	394660.816	74549.990	-250.221
fit	1236804.4000	312129.482	-255319.637	-38476.701
fit	1252838.1000	2699.732	-398794.584	-15112.791
fit	1268871.8000	-303856.052	-237684.329	28975.135
fit	1284905.5000	-356100.597	107917.837	25366.104
fit	1300939.2000	-95048.555	351932.834	-12373.977
fit	1316972.9000	251007.870	265241.531	-30325.989
fit	1333006.6000	371166.837	-69161.629	-6518.084
fit	1349040.3000	165636.687	-353994.323	28301.254
fit	1365074.0000	-178881.890	-360291.394	19511.342
fit	1381107.7000	-394880.100	-90662.801	-23896.022
fit	1397141.4000	-316028.009	244098.796	-29815.638
fit	1413175.1000	2818.433	388751.989	12793.873
fit	1429208.8000	309856.857	210822.053	36013.367
fit	1445242.5000	338984.282	-146933.657	7920.251
fit	1461276.2000	51543.700	-367046.872	-30510.218
fit	1477309.9000	-286027.619	-252486.792	-27689.819
fit	1493343.6000	-385257.963	87223.358	15296.610
fit	1509377.3000	-174810.980	363077.832	36573.067
fit	1525411.0000	171384.018	368122.107	1746.497
fit	1541444.7000	386606.242	95755.202	-33948.553
fit	1557478.4000	300792.104	-244069.227	-16122.634
fit	1573512.1000	-33126.319	-373673.817	23727.871
fit	1589545.8000	-328268.749	-168676.265	28128.152
fit	1605579.5000	-319648.249	193871.249	-7223.920
fit	1621613.2000	-16580.870	383097.265	-33081.871
fit	1637646.9000	308929.152	249537.494	-8267.180
fit	1653680.6000	394096.822	-88361.699	31334.415
fit	1669714.3000	184008.569	-360239.053	20429.739
fit	1685748.0000	-163554.466	-360927.580	-23442.128
fit	1701781.7000	-373370.091	-82482.764	-31012.928
fit	1717815.4000	-267860.382	257173.439	5378.404
fit	1733849.1000	76675.078	356426.903	34132.043
fit	1749882.8000	349272.237	125050.571	17293.725
fit	1765916.5000	307248.187	-227942.728	-26123.100
fit	1781950.2000	2543.837	-395350.015	-32344.288
fit	1797983.9000	-313155.735	-255758.160	12437.163
fit	1814017.6000	-395486.337	75706.873	35689.233
fit	1830051.3000	-186880.936	347973.446	1486.915
fit	1846085.0000	160607.087	343471.702	-30914.652
fit	1862118.7000	361721.867	56738.949	-16656.901
fit	1878152.4000	231793.675	-275661.201	18772.611
fit	1894186.1000	-113847.980	-346503.998	30027.073
fit	1910219.8000	-365489.626	-100984.852	-2256.619
fit	1926253.5000	-310431.332	239449.614	-35084.892
fit	1942287.2000	-11508.492	402558.799	-11430.790
fit	1958320.9000	300593.052	267306.669	32929.958
fit	1974354.6000	389587.917	-59809.558	22892.589
fit	1990388.3000	179750.384	-333994.099	-21358.387
fit	2006422.0000	-167866.098	-322096.917	-30925.543
fit	2022455.7000	-356347.959	-23888.828	-0.209
fit	2038489.4000	-206166.721	295025.830	30634.622
fit	2054523.1000	136960.214	348241.041	21346.578
fit	2070556.8000	376411.921	100314.968	-22098.676
fit	2086590.5000	324449.692	-234079.369	-32930.139
fit	2102624.2000	29856.381	-402685.087	11010.947
fit	2118657.9000	-284696.628	-274717.525	35567.782
fit	2134691.6000	-379106.573	55684.252	1982.216
fit	2150725.3000	-160608.033	329510.124	-30788.454
fit	2166759.0000	189993.838	303764.185	-18596.497
fit	2182792.7000	360729.597	-8052.523	16764.849
fit	2198826.4000	197009.332	-315810.439	31372.536
fit	2214860.1000	-146032.746	-360579.075	104.439
fit	2230893.8000	-382745.465	-114639.825	-35299.779
fit	2246927.5000	-338333.231	222276.684	-14246.305
fit	2262961.2000	-42979.230	396609.796	31091.155
fit	2278994.9000	277710.827	269160.259	25669.597
fit	2295028.6000	365677.735	-72725.096	-17464.878
fit	2311062.3000	129224.972	-338442.806	-32225.402
fit	2327096.0000	-224469.791	-287758.531	-3843.519
fit	2343129.7000	-372884.587	34598.201	29751.812
fit	2359163.4000	-198527.724	335307.915	22235.814
fit	2375197.1000	145753.055	373750.646	-20910.481
fit	2391230.8000	383865.008	128238.612	-32428.512
fit	2407264.5000	339196.154	-214750.326	8842.613
fit	2423298.2000	35931.988	-387141.092	35574.884
fit	2439331.9000	-288109.487	-243427.383	7549.066
fit	2455365.6000	-350100.300	112256.872	-29474.712
fit	2471399.3000	-88134.521	358502.186	-24764.333
fit	2487433.0000	261531.852	275280.953	14127.370
fit	2503466.7000	388273.055	-52712.384	33920.822
fit	2519500.4000	203931.378	-348001.054	2206.263
fit	2535534.1000	-140602.431	-380025.128	-33916.433
fit	2551567.8000	-379359.420	-130186.345	-16058.897
fit	2567601.5000	-323346.504	216994.621	26302.068
fit	2583635.2000	-6743.169	376471.862	28078.321
fit	2599668.9000	310287.990	201627.998	-10068.868
fit	2615702.6000	334434.197	-159441.840	-34048.767
fit	2631736.3000	50404.410	-378901.618	-9879.173
fit	2647770.0000	-287089.068	-269639.411	30436.772
fit	2663803.7000	-399203.412	58859.886	24698.330
fit	2679837.4000	-207828.692	348154.710	-20389.371
fit	2695871.1000	135550.711	374507.120	-32810.967
fit	2711904.8000	369714.633	115369.539	4584.911
fit	2727938.5000	293196.431	-230148.583	33196.235
fit	2743972.2000	-38488.712	-364716.192	15478.492
fit	2760005.9000	-334361.871	-156362.776	-23786.871
fit	2776039.6000	-323369.060	199684.391	-31004.099
check	643557.5000	-378175.482	143910.236	-8434.673
check	698345.0000	-83982.223	-355811.543	28808.114
check	753132.5000	374606.701	62598.547	-29834.796
check	807920.0000	-75221.846	396122.236	-724.617
check	862707.5000	-355271.675	-117335.628	30198.976
check	917495.0000	225887.891	-300196.537	-33317.760
check	972282.5000	306139.831	263094.490	4665.909
check	1027070.0000	-277434.902	239878.695	28247.614
check	1081857.5000	-143259.867	-353524.109	-36848.411
check	1136645.0000	383604.927	-132547.969	8838.326
check	1191432.5000	92554.298	357453.833	28075.747
check	1246220.0000	-368569.827	-61211.497	-34748.038
check	1301007.5000	87337.123	-396726.891	12373.167
check	1355795.0000	367766.591	101046.934	21461.974
check	1410582.5000	-215601.659	295248.893	-29759.453
check	1465370.0000	-295444.162	-275662.340	20477.956
check	1520157.5000	277562.966	-256816.313	11967.596
check	1574945.0000	157040.178	338969.521	-30843.971
check	1629732.5000	-383559.634	122229.860	27843.573
check	1684520.0000	-99296.491	-362915.868	9183.309
check	1739307.5000	367761.835	46916.971	-29551.250
check	1794095.0000	-89815.892	393991.669	31242.790
check	1848882.5000	-376989.582	-88773.563	4609.822
check	1903670.0000	203099.941	-297001.499	-26291.878
check	1958457.5000	290305.729	278971.866	34985.693
check	2013245.0000	-274016.459	273934.705	-2129.445
check	2068032.5000	-175999.287	-322487.309	-25585.768
check	2122820.0000	380689.530	-117571.063	35447.157
check	2177607.5000	107770.643	367419.913	-5615.635
check	2232395.0000	-369205.064	-22232.854	-19310.074
check	2287182.5000	84578.035	-391049.757	34484.483
check	2341970.0000	383448.260	77330.448	-12299.463
check	2396757.5000	-187261.875	305176.322	-13593.305
check	2451545.0000	-291608.384	-274979.742	36271.197
check	2506332.5000	266391.376	-290498.449	-18709.858
check	2561120.0000	197573.966	305032.392	-12958.705
check	2615907.5000	-376335.290	119210.737	34287.609
check	2670695.0000	-119144.785	-370134.115	-21098.083
check	2725482.5000	369953.062	-9701.716	-5873.219
check	2780270.0000	-72462.989	388352.569	30400.342
fit2	625661.5000	-345672.736	105764.564	30031.723
fit2	627160.5000	-134372.837	380517.991	27685.683
fit2	628659.5000	188609.162	313545.054	7406.352
fit2	630158.5000	377343.278	122409.264	-16024.651
fit2	631657.5000	291051.767	-262379.974	-30598.359
fit2	633156.5000	50452.553	-365681.016	-37402.458
fit2	634655.5000	-284696.537	-286780.084	-35467.885
fit2	636154.5000	-359968.523	43827.630	-19499.538
fit2	637653.5000	-277962.862	275681.804	7004.188
fit2	639152.5000	103529.921	370468.521	16720.831
fit2	640651.5000	292303.296	226693.128	33600.574
fit2	642150.5000	386189.949	-120086.414	33717.666
fit2	643649.5000	138703.876	-343964.735	25325.958
fit2	645148.5000	-131709.989	-372069.595	9849.076
fit2	646647.5000	-385827.741	-69486.283	1714.783
fit2	648146.5000	-323138.523	169934.089	-17039.519
fit2	649645.5000	-62233.702	398219.440	-28673.073
fit2	651144.5000	232353.682	272418.154	-28432.097
fit2	652643.5000	391253.518	63645.168	-27084.158
fit2	654142.5000	244313.348	-299378.857	-19349.881
