sid	retired	reason	successor_sid
112424	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
225010	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
253966	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
270010	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
278474	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
279336	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
281375	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
288571	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
301506	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
302557	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
306091	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
306188	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
307077	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
308501	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
308892	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
310516	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
310685	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
310735	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
310905	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
311163	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
311439	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
311710	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
311759	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
311832	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
311890	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
311966	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
312052	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
